element_type,osmid,geometry,name,name:en,name:zh,operator,railway,start_date,wheelchair,level,amenity,brand,brand:wikidata,brand:wikipedia,building,covered,cuisine,opening_hours,phone,takeaway,shop,parking,supervised,highway,access,nodes,building:levels,addr:street,wikidata,wikimedia_commons,layer,addr:housenumber,alt_name,alt_name:zh,fee,addr:city,building:levels:underground,smoking,area,lit,surface,addr:street:en,addr:street:zh,source,university,residential,addr:borough,addr:borough:en,addr:borough:zh,alt_name:en,email,heritage,old_name,ref:hk,website,brand:en,brand:zh,man_made,network,network:en,network:wikidata,network:zh,operator:en,operator:wikidata,operator:zh,owner,owner:en,owner:wikidata,owner:zh,service,subway,addr:quarter,addr:quarter:en,addr:quarter:zh,addr:suburb,addr:suburb:en,addr:suburb:zh,location,tunnel,ele,indoor,room,max_level,min_level,fixme,ways,type
way,182208644,"POLYGON ((114.1390787 22.2836119, 114.1391066 22.2836065, 114.1391415 22.2836165, 114.1391683 22.2836314, 114.1391844 22.2836587, 114.1391978 22.283681, 114.1392245 22.283696, 114.139289 22.2836984, 114.13926 22.2837943, 114.1392537 22.2838153, 114.1391066 22.2837852, 114.1390234 22.2837455, 114.1389258 22.2836496, 114.1389956 22.2835596, 114.1390787 22.2836119))",馮平山樓 Fung Ping Shan Building,Fung Ping Shan Building,馮平山樓,,,,,,,,,,yes,,,,,,,,,,,"[1925517837, 1925517707, 1925517907, 1925517870, 1925517912, 1925517756, 1925517891, 1925517568, 1925517523, 1925517713, 1925517607, 1925517554, 1925517822, 1925517595, 1925517837]",,般咸道 Bonham Road,,,,94,,,,,,,,,,Bonham Road,般咸道,,,,西環 Sai Wan,Sai Wan,西環,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182213417,"POLYGON ((114.1353188 22.28417, 114.1355086 22.2839835, 114.1355782 22.2840441, 114.1354398 22.28418, 114.1354877 22.2842218, 114.1354362 22.2842724, 114.1353188 22.28417))",任白樓 Yam Pak Building,Yam Pak Building,任白樓,,,,,,,,,,university,,,,,,,,,,,"[1925589815, 1925589982, 1925589852, 1925589813, 1925589849, 1925589941, 1925589815]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182298778,"POLYGON ((114.1341107 22.2838947, 114.1342675 22.2838975, 114.1342658 22.2839788, 114.134109 22.283976, 114.1341107 22.2838947))",香港大學訪客中心 Visitor and Information Centre,Visitor and Information Centre,香港大學訪客中心,,,1931,,0,,,,,university,,,Mo-Sa 9:30-17:00; Su 11:00-17:00; PH off,+852 39177853,,,,,,,"[1926490176, 1926490238, 1926490175, 1926490294, 1926490176]",1,薄扶林道 Pok Fu Lam Road,,,2,76B,,,,"Sai Wan, Central and Western",,,,,,,,,,,,,,Western Staff Quarters,visitorcentre@hku.hk,4,"Workmen's Quarters, Elliot Pumping Station & Filters",734,https://www.visitorcentre.hku.hk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182298784,"POLYGON ((114.1344133 22.2838893, 114.1346548 22.2838112, 114.134686 22.2838873, 114.1345104 22.2839489, 114.1344935 22.2839076, 114.1344275 22.283927, 114.1344133 22.2838893))",逸夫苑 Run Run Shaw Heritage House,Run Run Shaw Heritage House,逸夫苑,,,1929,,,,,,,university,,,,,,,,,,,"[1926490217, 1926490291, 1926490195, 1926490131, 1926490224, 1926490179, 1926490217]",2,薄扶林道 Pok Fu Lam Road,,,2,76C,,,,"Sai Wan, Central and Western",,,,,,,,,,,,,,Western Senior Staff Quarters,,3,"Senior Staff Quarters, Elliot Pumping Station & Filters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,315571039,"POLYGON ((114.1351206 22.2832601, 114.1351196 22.2832343, 114.1351151 22.2831152, 114.1351083 22.2830936, 114.1350887 22.2830731, 114.1350593 22.2830702, 114.1343642 22.2831019, 114.1342622 22.2831065, 114.1342318 22.2831194, 114.1342053 22.2831417, 114.1341914 22.2831737, 114.1341913 22.2832175, 114.1341963 22.2832973, 114.1342035 22.2833563, 114.1343218 22.283352, 114.1345278 22.2833446, 114.1346792 22.2833392, 114.1348775 22.2833321, 114.1349992 22.2833277, 114.1350699 22.2833252, 114.13507 22.2833096, 114.1350955 22.2833039, 114.1351133 22.2832833, 114.1351206 22.2832601))",賽馬會教學樓 The Jockey Club Tower,The Jockey Club Tower,賽馬會教學樓,,,,,,,,,,university,,,,,,,,,,,"[3216998077, 5180139200, 5180133904, 5180133906, 3216998053, 5180133905, 5180139191, 5180139171, 3216997976, 3216998089, 3216998049, 3216998014, 9036874348, 3216998032, 5180139175, 5180139174, 5180139176, 5180139179, 5180139132, 5180133903, 5180133902, 5180133901, 5180133900, 3216998077]",11,薄扶林道 Pok Fu Lam Road,,,2,78,,,,"Sai Wan, Central and Western",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,315571042,"POLYGON ((114.1336286 22.2833959, 114.1335911 22.283314, 114.1335964 22.2832694, 114.1336125 22.2832346, 114.1336635 22.2831949, 114.1338117 22.2831449, 114.1338287 22.2831878, 114.1338428 22.283183, 114.1338569 22.2832145, 114.1338806 22.2832269, 114.1338954 22.2832403, 114.1339056 22.2832614, 114.1339074 22.2832841, 114.1339007 22.2833026, 114.1339117 22.2833363, 114.1338921 22.2833437, 114.133912 22.2833957, 114.1337537 22.2834458, 114.133701 22.2834431, 114.1336635 22.2834232, 114.1336286 22.2833959))",鄭裕彤教學樓 Cheng Yu Tung Yower,Cheng Yu Tung Tower,鄭裕彤教學樓,,,,,,,,,,university,,,,,,,,,,,"[3216998024, 3216998086, 3216998066, 3216997982, 3216998039, 3216998043, 3216997986, 3216998047, 5180139151, 5180139155, 5180139154, 5180139152, 5180139153, 5180139135, 3216998042, 3216998018, 3216998083, 4472676145, 3216998059, 3216998007, 3216998024]",10,薄扶林道 Pok Fu Lam Road,,,2,78,,,,"Sai Wan, Central and Western",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,315571046,"POLYGON ((114.1349048 22.2837352, 114.1349014 22.2837874, 114.1345327 22.2837955, 114.134533 22.2838251, 114.1344422 22.2838254, 114.1344413 22.2838005, 114.1343573 22.2838067, 114.1342947 22.2838223, 114.1340805 22.2838758, 114.1340429 22.2838764, 114.1340139 22.2838604, 114.1340009 22.283842, 114.1339584 22.2837053, 114.1342607 22.2836199, 114.1342615 22.2836197, 114.1343744 22.2835878, 114.1344119 22.2835772, 114.1344126 22.2835932, 114.1344933 22.2835865, 114.1344915 22.283568, 114.1347446 22.2835579, 114.13481 22.2835553, 114.1348367 22.2835642, 114.1348629 22.2835868, 114.1348815 22.2836121, 114.1348933 22.2836502, 114.1349007 22.2837052, 114.1349048 22.2837352))",逸夫教學樓 Run Run Shaw Tower,Run Run Shaw Tower,逸夫教學樓,,,,,,,,,,university,,,,,,,,,,,"[4472676156, 4472676157, 3216998019, 3216998092, 3216998064, 3216998009, 3216998015, 8349222950, 5196679831, 3216998088, 3216998045, 3216998048, 3216997995, 7131204338, 8349222952, 5196679829, 4472668684, 4472676151, 4472676152, 4472676148, 5196679830, 5180133896, 4472676150, 4472676154, 5180133897, 4472676155, 5180139123, 4472676156]",11,薄扶林道 Pok Fu Lam Road,,,2,78,,,,"Sai Wan, Central and Western",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,315572281,"POLYGON ((114.1343354 22.2841653, 114.134386 22.2841633, 114.1344385 22.2841611, 114.134435 22.2840888, 114.1343793 22.284091, 114.1343319 22.284093, 114.1343354 22.2841653))",Centennial Gate,,,,,,,,,,,,yes,,,,,,,,,,,"[3217010660, 3219761197, 3217010632, 3217010617, 5180139212, 3217010631, 3217010660]",2,薄扶林道 Pok Fu Lam Road,,,,78,,,,"Sai Wan, Central and Western",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,315843025,"POLYGON ((114.1368132 22.2834955, 114.136765 22.2834986, 114.1367412 22.2835001, 114.1367142 22.2835019, 114.1366603 22.2835054, 114.1366559 22.2834236, 114.1366515 22.283342, 114.136694 22.2833398, 114.1367184 22.2833097, 114.1367156 22.2832704, 114.136744 22.2832689, 114.1367704 22.2832688, 114.1367724 22.2833169, 114.1368076 22.2833815, 114.1368132 22.2834955))",HKU Station Exit A,,,,,,,,,,,,yes,,,,,,,,,,,"[4470983030, 3789302253, 4099143267, 3789302252, 4470982288, 4099072622, 3219761221, 3219761211, 4470983027, 3219761199, 2555184303, 3219761224, 4470983028, 4470983029, 4470983030]",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,315843026,"POLYGON ((114.1350875 22.2843665, 114.1351159 22.2844736, 114.1352911 22.2844314, 114.1352274 22.2842025, 114.1351327 22.2842576, 114.1350875 22.2843665))",港鐵香港大學站通風及機房大樓 MTR HKU Station Ventilation and Plant Building,MTR HKU Station Ventilation and Plant Building,港鐵香港大學站通風及機房大樓,香港鐵路有限公司 MTR Corporation Limited,yes,,,,,港鐵 MTR,,,service,,,,,,,,,,,"[3219761200, 3219761201, 3219761222, 3219761212, 3219761214, 3219761200]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTR,港鐵,shaft,港鐵 MTR,MTR,Q14751,港鐵,MTR Corporation Limited,Q1479375,香港鐵路有限公司,香港鐵路有限公司 MTR Corporation Limited,MTR Corporation Limited,Q1479375,香港鐵路有限公司,ventilation,yes,,,,,,,,,,,,,,,,
way,390554535,"POLYGON ((114.1392421 22.2823893, 114.1393439 22.2823858, 114.139351 22.2825666, 114.139251 22.2825706, 114.1390353 22.2825791, 114.1389663 22.2825808, 114.1389598 22.282399, 114.1390862 22.2823947, 114.1390856 22.2823662, 114.1390853 22.2823529, 114.1390842 22.2822981, 114.138966 22.2823019, 114.1389591 22.2821147, 114.1393873 22.2821011, 114.1393942 22.2822883, 114.1392391 22.2822932, 114.1392408 22.2823492, 114.1392421 22.2823893))",明華綜合大樓 Meng Wah Complex,Meng Wah Complex,明華綜合大樓,,,,,,,,,,university,,,,,,,,,,,"[3937116959, 4470954034, 4470954033, 6580279799, 6651079962, 4470954028, 4470954032, 3937116960, 6563915346, 6563915345, 3937116961, 4470954036, 4470954030, 4470954035, 4470954037, 3937116962, 6563915344, 3937116959]",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,390554537,"POLYGON ((114.1398831 22.2815853, 114.1398865 22.2815245, 114.1398974 22.2814943, 114.1399235 22.2814611, 114.1399536 22.2814386, 114.1399997 22.281419, 114.1400551 22.2814078, 114.1400785 22.281406, 114.1400936 22.281396, 114.1401234 22.2813039, 114.1402481 22.2813352, 114.1402154 22.2814353, 114.140154 22.2814208, 114.140146 22.2814493, 114.1401637 22.2814651, 114.1401724 22.2814839, 114.1401728 22.2815105, 114.1401614 22.281534, 114.1401422 22.2815504, 114.1401204 22.2815552, 114.1401189 22.281588, 114.1398831 22.2815853))",大學道一號 University Lodge,University Lodge,大學道一號,,,,,,,,,,house,,,,,,,,,,,"[3937116967, 3937116968, 3937116969, 3937116970, 3937116971, 3937116972, 3937116973, 6505376132, 6505376135, 3937116974, 3937116978, 3937116979, 3937116980, 3937116981, 3937116982, 6505376134, 6505376133, 3937116983, 3937116984, 3937116985, 3937116986, 3937116967]",,大學道 University Drive,,,,1,,,,,,,,,,University Drive,大學道,,,,,,,,,3,West Point Filters Bungalow,H0564,,,,,,,,,,,,,,,,,,西半山 Mid-Levels West,Mid-Levels West,西半山,半山區 Mid-Levels,Mid-Levels,半山區,,,,,,,,,,
way,407885736,"POLYGON ((114.1359056 22.284101, 114.1358747 22.284438, 114.1359621 22.2844449, 114.1359894 22.2844606, 114.1369334 22.2851498, 114.1369534 22.2851953, 114.1369803 22.2852541, 114.1369385 22.2855086, 114.1369105 22.2856788, 114.1368831 22.2856748, 114.1368554 22.2856706, 114.1368838 22.2855022, 114.1369288 22.2852397, 114.1369013 22.2851875, 114.1359572 22.2844983, 114.1358698 22.2844914, 114.1358327 22.284895, 114.1356808 22.2852991, 114.1355978 22.2853337, 114.1352052 22.285402, 114.1352218 22.285484, 114.1351702 22.2854927, 114.1351196 22.2855018, 114.1350895 22.2853535, 114.135587 22.2852692, 114.1356414 22.2852481, 114.1357681 22.2848883, 114.1358402 22.2840956, 114.1348642 22.2840138, 114.1348464 22.2841922, 114.1346039 22.2841737, 114.1346011 22.2842454, 114.1346285 22.2844129, 114.1346075 22.2844171, 114.1345827 22.2844221, 114.1345551 22.2842534, 114.1345559 22.2841706, 114.133925 22.2841272, 114.1338915 22.2841451, 114.1327335 22.2854889, 114.1326674 22.2857196, 114.1326675 22.2859005, 114.1326439 22.2859012, 114.1326224 22.2859019, 114.1326241 22.2857216, 114.1326868 22.2854812, 114.1327757 22.2853504, 114.1338576 22.2841198, 114.1339175 22.2840844, 114.1347228 22.2841407, 114.1348026 22.2841473, 114.1348153 22.2840098, 114.1346912 22.2839993, 114.134711 22.2837964, 114.1359177 22.2838974, 114.1359379 22.2838139, 114.1367374 22.2836856, 114.1367142 22.2835019, 114.1367412 22.2835001, 114.136765 22.2834986, 114.1367921 22.283731, 114.1359949 22.2838595, 114.1359834 22.2839029, 114.1360638 22.2839097, 114.1360439 22.2841125, 114.1359056 22.284101))",,,,香港鐵路有限公司 MTR Corporation,,,,-2,,,,,train_station,,,,,,,,,,,"[3937105570, 3937105583, 3937105584, 3937105585, 3937105590, 3937105592, 3937105595, 3219761207, 3219761216, 2555184304, 3219761215, 3219761217, 3937105594, 3937105591, 3937105587, 3937105586, 3937105589, 3937105596, 3937105597, 3937105599, 3937105604, 2555184305, 3937105607, 3937105598, 3937105593, 4099095091, 3937105588, 3937105569, 3937105567, 3937105578, 3937105577, 3937105579, 3937105581, 4099143286, 3937105582, 3937105580, 3937105576, 3937105572, 3937105575, 3937105605, 7062913111, 3937105611, 2555184307, 3937105610, 7062913110, 3937105602, 3937105600, 3937105571, 3937105568, 3937105573, 3937105574, 3937105566, 2555184299, 2555184300, 3789302247, 3789302248, 3789302251, 3789302252, 4099143267, 3789302253, 3789302250, 3789302249, 3789302246, 2555184301, 2555184302, 3937105570]",1,薄扶林道 Pok Fu Lam Road,,,-2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,MTR,,,,,,,,,,,,yes,,,,,,,underground,building,,,,,,,,
way,448042970,"POLYGON ((114.1385016 22.2811058, 114.1392052 22.2812678, 114.1392507 22.2810986, 114.1390109 22.2810434, 114.1388956 22.2809206, 114.1385715 22.280846, 114.1385016 22.2811058))",旭龢道食水配水庫,,,,,,,,,,,,yes,,,,,,,,,,,"[4450974229, 4450974230, 4450974231, 4450974232, 4450974233, 4450974234, 4450974229]",,旭龢道 Kotewall Road,,,,54,,,,,,,,,,Kotewall Road,旭龢道,,,,,,,,,,,,,,,reservoir_covered,,,,,,,,,,,,,,西半山 Mid-Levels West,Mid-Levels West,西半山,半山區 Mid-Levels,Mid-Levels,半山區,,,,,,,,,,
way,448042971,"POLYGON ((114.1392481 22.2813238, 114.1393632 22.2813669, 114.1394302 22.2812135, 114.1393507 22.2811838, 114.139333 22.2812243, 114.1392974 22.281211, 114.1392481 22.2813238))",旭龢道食水抽水站,,,,,,,,,,,,industrial,,,,,,,,,,,"[4450974235, 4450974236, 4450974237, 4450974238, 8189129218, 8189110715, 4450974235]",,旭龢道 Kotewall Road,,,,52,,,,,,,,,,Kotewall Road,旭龢道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西半山 Mid-Levels West,Mid-Levels West,西半山,半山區 Mid-Levels,Mid-Levels,半山區,,,,,,,,,,
way,453772338,"POLYGON ((114.1335823 22.28304, 114.133652 22.2829978, 114.1336171 22.2829526, 114.1336107 22.2829568, 114.1335208 22.2828313, 114.1334674 22.2828639, 114.133557 22.2829896, 114.1335501 22.2829941, 114.1335823 22.28304))",西區濾水廠房 Elliot Treatment Works Building,Elliot Treatment Works Building,西區濾水廠房,,,1931,,,,,,,yes,,,,,,,,,,,"[4504612957, 4504612958, 4504612959, 4504616941, 4504616943, 4504616942, 4504616940, 4504612960, 4504612957]",2,薄扶林道 Pok Fu Lam Road,,,,76,,,,"Sai Wan, Central and Western",,,,,,,,,,,,,,Elliot Treatment Works,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
way,532479301,"POLYGON ((114.1338287 22.2831878, 114.1336906 22.2832355, 114.1336589 22.2832586, 114.1336477 22.2832881, 114.1336523 22.2833143, 114.1336816 22.2833748, 114.1337084 22.2833906, 114.1337331 22.283395, 114.133766 22.2833893, 114.1338921 22.2833437, 114.1339117 22.2833363, 114.1339007 22.2833026, 114.1339074 22.2832841, 114.1339056 22.2832614, 114.1338954 22.2832403, 114.1338806 22.2832269, 114.1338569 22.2832145, 114.1338428 22.283183, 114.1338287 22.2831878))",,Academic Conference Centre,,,,,,11,,,,,university,,,,,,,,,,,"[3216997986, 5180139142, 5180139141, 5166991357, 5180139140, 5180139139, 5180139138, 5180139137, 5180139136, 3216998018, 3216998042, 5180139135, 5180139153, 5180139152, 5180139154, 5180139155, 5180139151, 3216998047, 3216997986]",11,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,room,conference,,,,,
way,534044190,"POLYGON ((114.1337537 22.2834458, 114.1337614 22.2834655, 114.1338425 22.2836739, 114.1339393 22.2836458, 114.1339584 22.2837053, 114.1342607 22.2836199, 114.1342615 22.2836197, 114.1343744 22.2835878, 114.1344119 22.2835772, 114.1344126 22.2835932, 114.1344933 22.2835865, 114.1344915 22.283568, 114.1347446 22.2835579, 114.13481 22.2835553, 114.1348367 22.2835642, 114.1348629 22.2835868, 114.1348815 22.2836121, 114.1348933 22.2836502, 114.1349007 22.2837052, 114.134935 22.2837037, 114.134935 22.2836458, 114.1349938 22.2836353, 114.135045 22.2836212, 114.1350772 22.2836072, 114.1350867 22.2835896, 114.1350886 22.2835668, 114.135062 22.2834756, 114.1349992 22.2833277, 114.1348775 22.2833321, 114.134883 22.2835069, 114.1346847 22.2835099, 114.1346792 22.2833392, 114.1345278 22.2833446, 114.1345311 22.283522, 114.1343263 22.283528, 114.1343218 22.283352, 114.1342035 22.2833563, 114.1341963 22.2832973, 114.1341913 22.2832175, 114.1341914 22.2831737, 114.1342053 22.2831417, 114.1342318 22.2831194, 114.1342622 22.2831065, 114.1342096 22.2831113, 114.1341831 22.2831137, 114.134082 22.2831227, 114.1340407 22.2831265, 114.1340636 22.2831485, 114.134087 22.2831854, 114.1340994 22.2832092, 114.1341119 22.2832462, 114.1341185 22.2832747, 114.1341231 22.2833119, 114.1341236 22.2833161, 114.1341256 22.2833481, 114.1341236 22.2833659, 114.1341685 22.2833597, 114.1341773 22.2835422, 114.1340195 22.2835994, 114.1339423 22.2834035, 114.1339935 22.2833913, 114.1339799 22.2833741, 114.1339702 22.2833617, 114.1339501 22.283331, 114.1339359 22.2833011, 114.1339207 22.283258, 114.1339171 22.2832281, 114.1339142 22.283191, 114.1338569 22.2832145, 114.1338806 22.2832269, 114.1338954 22.2832403, 114.1339056 22.2832614, 114.1339074 22.2832841, 114.1339007 22.2833026, 114.1339117 22.2833363, 114.1338921 22.2833437, 114.133912 22.2833957, 114.1337537 22.2834458))",Central Podium,Central Podium,,,,,,,,,,,university,,,,,,,,,,,"[4472676145, 7131204337, 5180139121, 5180139122, 3216997995, 7131204338, 8349222952, 5196679829, 4472668684, 4472676151, 4472676152, 4472676148, 5196679830, 5180133896, 4472676150, 4472676154, 5180133897, 4472676155, 5180139123, 5180139124, 5180139125, 5180139126, 5180139127, 5180139128, 5180139129, 5180139130, 5180139131, 5180139132, 5180139179, 5180139178, 5180139177, 5180139176, 5180139174, 5180139173, 5180139172, 5180139175, 3216998032, 9036874348, 3216998014, 3216998049, 3216998089, 3216997976, 5180139171, 8349222951, 7131204339, 5180139188, 5180139170, 5180139133, 5180139169, 5180139168, 5180139167, 5180139166, 5180139193, 5180139165, 5180139163, 5180139134, 5180139164, 5180139161, 5180139183, 5180139162, 5180139143, 5180139194, 5180139160, 5180139159, 5180139158, 5180139157, 5180139156, 5180139150, 5180139151, 5180139155, 5180139154, 5180139152, 5180139153, 5180139135, 3216998042, 3216998018, 3216998083, 4472676145]",6,薄扶林道 Pok Fu Lam Road,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-2,,,
way,534044191,"POLYGON ((114.1339891 22.2830993, 114.1340145 22.2831092, 114.1340407 22.2831265, 114.1340636 22.2831485, 114.134087 22.2831854, 114.1340994 22.2832092, 114.1341119 22.2832462, 114.1341185 22.2832747, 114.1341231 22.2833119, 114.1341236 22.2833161, 114.1341256 22.2833481, 114.1341236 22.2833659, 114.1341154 22.2833791, 114.1340981 22.2833913, 114.1340443 22.2834101, 114.134027 22.2834101, 114.1340077 22.2834035, 114.1339935 22.2833913, 114.1339799 22.2833741, 114.1339702 22.2833617, 114.1339501 22.283331, 114.1339359 22.2833011, 114.1339207 22.283258, 114.1339171 22.2832281, 114.1339142 22.283191, 114.1339172 22.283159, 114.1339233 22.2831336, 114.1339403 22.2831122, 114.1339639 22.283101, 114.1339891 22.2830993))",,,,,,,,,,,,,university,,,,,,,,,,,"[5180139144, 5180139145, 5180139170, 5180139133, 5180139169, 5180139168, 5180139167, 5180139166, 5180139193, 5180139165, 5180139163, 5180139134, 5180139187, 5180139186, 5180139185, 5180139184, 5180139182, 5180139143, 5180139194, 5180139160, 5180139159, 5180139158, 5180139157, 5180139156, 5180139150, 5180139146, 5180139147, 5180139148, 5180139149, 5180139144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,534044203,"POLYGON ((114.1343372 22.2831972, 114.1343895 22.283181, 114.1344565 22.2831649, 114.1345585 22.2831574, 114.1346658 22.2831574, 114.134828 22.2831761, 114.134883 22.2831903, 114.1348991 22.2832071, 114.1349004 22.2832294, 114.1348895 22.283241, 114.1348694 22.2832526, 114.1348543 22.2832613, 114.1348089 22.2832748, 114.1347203 22.2832944, 114.1346424 22.2833079, 114.1345558 22.2833151, 114.1344906 22.2833169, 114.1344179 22.2833101, 114.1343703 22.2833014, 114.1343345 22.2832902, 114.1343282 22.2832826, 114.134313 22.2832642, 114.134313 22.2832431, 114.1343157 22.2832232, 114.1343372 22.2831972))",,,,,,,,,,,,,roof,,,,,,,,,,,"[5180139213, 5180139214, 5180139215, 5180139216, 5180139217, 5180139218, 5180139230, 5180139219, 5180139220, 5180139231, 9036874350, 5180139221, 5180139232, 5180139222, 5180139233, 5180139223, 5180139234, 5180139224, 5180139225, 5180139226, 9036874349, 5180139227, 5180139228, 5180139229, 5180139213]",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,534044204,"POLYGON ((114.1347499 22.2836378, 114.1347481 22.2836171, 114.1347472 22.2836015, 114.1347446 22.2835579, 114.1344915 22.283568, 114.1344933 22.2835865, 114.1344126 22.2835932, 114.1344119 22.2835772, 114.1343744 22.2835878, 114.1343822 22.2836327, 114.1343488 22.2836417, 114.1343019 22.2836653, 114.1342847 22.2836816, 114.1342482 22.2837162, 114.1342402 22.2837447, 114.1342456 22.2837658, 114.134267 22.2837795, 114.1343086 22.2837807, 114.1343346 22.2837804, 114.1347149 22.2837733, 114.1347592 22.2837652, 114.1347874 22.2837398, 114.1348008 22.2837125, 114.1347968 22.283674, 114.1347793 22.2836492, 114.1347499 22.2836378))",,,,,,,,11,,,,,university,,,,,,,,,,,"[5180139241, 5196679416, 5197552540, 5196679830, 4472676148, 4472676152, 4472676151, 4472668684, 5196679829, 5196679828, 5180139236, 5180139235, 5196679418, 5180139252, 5180139251, 5180139250, 5180139249, 5180139248, 5196679827, 5180139246, 5180139253, 5180139245, 5180139244, 5180139243, 5180139242, 5180139241]",11,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,706468416,"POLYGON ((114.1401132 22.2835477, 114.1400923 22.2834538, 114.140517 22.2833787, 114.1405338 22.2834674, 114.1404513 22.2834832, 114.1403122 22.2835097, 114.1401132 22.2835477))",,,,,,,,,,,,,school,,,,,,,,,,,"[6638571129, 6638571130, 6638571131, 6638571132, 6638571137, 6638571136, 6638571129]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,707832732,"POLYGON ((114.1378499 22.2826344, 114.1378498 22.2826484, 114.1378497 22.2826713, 114.1380448 22.2826676, 114.1384311 22.2826602, 114.1388668 22.2826518, 114.1388897 22.2826514, 114.1388913 22.2826806, 114.1389788 22.2826785, 114.1389793 22.2826356, 114.1390371 22.2826364, 114.1390353 22.2825791, 114.1389663 22.2825808, 114.1388975 22.2825993, 114.1384576 22.2826098, 114.1384568 22.2825868, 114.1382759 22.2825914, 114.1382781 22.2826205, 114.1378499 22.2826344))",,,,,,,,,,,,,roof,,,,,,,,,,,"[1925481034, 6651079963, 6651079956, 9036874345, 5264333199, 6651079964, 6651079957, 6651079958, 6651079959, 6651079960, 6651079961, 6651079962, 4470954028, 1925481087, 1925480983, 1925481004, 1925481071, 1925480991, 1925481034]",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Confirm extent,,
way,707832736,"POLYGON ((114.1389788 22.2826785, 114.1389793 22.2826356, 114.1390371 22.2826364, 114.1390353 22.2825791, 114.139251 22.2825706, 114.139351 22.2825666, 114.139376 22.282562, 114.1394322 22.282624, 114.1392512 22.2826284, 114.139139 22.2826311, 114.1391403 22.2826745, 114.1389788 22.2826785))",,,,,,,,,,,,,roof,,,,,,,,,,,"[6651079959, 6651079960, 6651079961, 6651079962, 6580279799, 4470954033, 6651079965, 1925480948, 6580279798, 5180139259, 5180139258, 6651079959]",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,732556274,"POLYGON ((114.1394223 22.2837844, 114.1394313 22.2837464, 114.1394706 22.2837543, 114.1394616 22.2837923, 114.1394223 22.2837844))",,,,,,,,,,,,,yes,,,,,,,,,,,"[6859765709, 6859765710, 6859765711, 6859765712, 6859765709]",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,height,,
