element_type,osmid,amenity,parking,geometry,access,wheelchair,addr:state,building,ele,gnis:county_name,gnis:feature_id,gnis:import_uuid,gnis:reviewed,name,source,addr:housenumber,addr:street,wikidata,created_by,addr:city,addr:country,addr:postcode,alt_name,website,phone,shop,man_made,surveillance:type,height,material,operator,tourism,nodes,building:levels,building:material,leisure,sport,wikipedia,roof:levels,roof:shape,year_of_construction,religion,other_source,opening_hours,note,operator:type,email,gnis:county_id,gnis:created,gnis:state_id,old_name,short_name,ref:isil,addr:housename,full_name,name:zh,internet_access,type,building_1,fee,opening_hours:url,building:flats,content,bridge,layer,ways,aerospace:product,faculty,building:levels:underground
way,29680207,,,"POLYGON ((-71.1245429 42.3669002, -71.1246811 42.3669747, -71.1244509 42.3672077, -71.1243134 42.3671335, -71.1243764 42.3670697, -71.124424 42.3670953, -71.1244804 42.3670382, -71.1245289 42.3669891, -71.1244807 42.3669631, -71.1245429 42.3669002))",,,MA,university,3,Middlesex,1971154,57871b70-0100-4405-bb30-88b2e001a944,no,Cotting House,MassGIS Buildings (http://www.mass.gov/mgis/lidarbuildingfp2d.htm);USGS Geonames,50,North Harvard Street,,,,,,,,,,,,,,,,"[326584735, 326584737, 326584739, 326584742, 326584744, 326584746, 7514942831, 326584748, 326584750, 326584735]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29680211,,,"POLYGON ((-71.1236578 42.3665382, -71.12403 42.3666825, -71.1243785 42.3668176, -71.1241929 42.367079, -71.123847 42.3669449, -71.1234722 42.3667997, -71.1235683 42.3666643, -71.1236578 42.3665382))",,,MA,university,3,Middlesex,1971550,57871b70-0100-4405-bb30-88b2e001a944,no,Morgan Hall,MassGIS Buildings (http://www.mass.gov/mgis/lidarbuildingfp2d.htm);USGS Geonames,15,Harvard Way,,,,,,,,,,,,,,,,"[326584790, 7442740432, 326584792, 326584794, 7442740434, 326584796, 7442740433, 326584790]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29680215,,,"POLYGON ((-71.1213818 42.3667166, -71.1213845 42.3670972, -71.1210045 42.3671093, -71.1210092 42.3671444, -71.1209041 42.3671524, -71.1208415 42.3667389, -71.1209436 42.3667308, -71.1209905 42.3670101, -71.1212835 42.3670003, -71.1212771 42.3667183, -71.1213818 42.3667166))",,,MA,university,3,Middlesex,1971523,57871b70-0100-4405-bb30-88b2e001a944,no,McCulloch Hall,USGS Geonames,44,Harvard Way,,,,,,,,,,,,,,,,"[326584852, 326584854, 326584860, 326584861, 326584864, 326584866, 326584868, 326584870, 326584872, 326584874, 326584852]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29680216,,,"POLYGON ((-71.121196 42.3667138, -71.1212032 42.3668039, -71.1210222 42.3668118, -71.1210149 42.3667217, -71.1211027 42.3667179, -71.121196 42.3667138))",,,MA,university,3,Middlesex,1971377,57871b70-0100-4405-bb30-88b2e001a944,no,Greenhill House,MassGIS Buildings (http://www.mass.gov/mgis/lidarbuildingfp2d.htm);USGS Geonames,40,Harvard Way,,,,,,,,,,,,,,,,"[326584880, 326584882, 326584884, 326584886, 7514942843, 326584880]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29680226,,,"POLYGON ((-71.1209993 42.3662441, -71.1210698 42.3662419, -71.1210722 42.3662828, -71.121145 42.3662805, -71.1211473 42.366319, -71.1211992 42.3663173, -71.121202 42.3663657, -71.1211334 42.3663678, -71.1211337 42.3663742, -71.121007 42.3663782, -71.1210061 42.3663627, -71.120963 42.3663641, -71.1209621 42.3663477, -71.1209322 42.3663487, -71.1209307 42.3663241, -71.1210037 42.3663219, -71.1209993 42.3662441))",,,,university,,,,,,Dean's House,,,,,,,,,,,,,,,,,,,"[326585020, 326585022, 326585024, 326585026, 326585028, 326585030, 326585032, 326585034, 326585036, 326585038, 326585040, 326585042, 326585044, 326585046, 326585048, 326585050, 326585020]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29680236,,,"POLYGON ((-71.1226699 42.3654567, -71.1229251 42.365498, -71.1228576 42.3657271, -71.1229065 42.3657349, -71.1228779 42.3658321, -71.122663 42.3657973, -71.1226794 42.3657414, -71.1226048 42.3657293, -71.1226262 42.365657, -71.1226472 42.3655853, -71.122591 42.3655762, -71.1226167 42.3654889, -71.1226585 42.3654956, -71.1226699 42.3654567))",,,MA,university,3,Middlesex,1971159,57871b70-0100-4405-bb30-88b2e001a944,no,Cumnock Hall,MassGIS Buildings (http://www.mass.gov/mgis/lidarbuildingfp2d.htm);USGS Geonames,33,Harvard Way,,,,,,,,,,,,,,,,"[326585174, 326585175, 326585176, 326585177, 326585178, 326585179, 326585180, 326585182, 7442740415, 326585183, 326585185, 326585187, 326585188, 326585174]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29680246,,,"POLYGON ((-71.1242365 42.3645588, -71.1243005 42.3645944, -71.1238131 42.3650748, -71.1237492 42.3650392, -71.1242365 42.3645588))",,,,yes,,,,,,Central Receiving,,80,North Harvard Street,,,,,,,,,,,,,,,,"[326585340, 326585342, 326585344, 326585346, 326585340]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29680266,,,"POLYGON ((-71.1158465 42.363349, -71.1158677 42.3634952, -71.1159227 42.3634909, -71.1159604 42.36375, -71.1158299 42.3637604, -71.1158347 42.3637935, -71.115892 42.3637889, -71.115953 42.364209, -71.1154926 42.3642457, -71.1154857 42.3641976, -71.1153653 42.3642072, -71.1153734 42.3642636, -71.1148909 42.3643091, -71.1148676 42.3641585, -71.1152499 42.364121, -71.1152242 42.3639439, -71.1153289 42.3639356, -71.1153207 42.3638782, -71.1155001 42.363864, -71.1154937 42.3638198, -71.1155606 42.3638157, -71.1156298 42.3638108, -71.1156565 42.3638077, -71.1157593 42.3637996, -71.1157545 42.3637664, -71.1157187 42.3637693, -71.1156926 42.3635889, -71.1155808 42.3635978, -71.1155483 42.3633729, -71.1158465 42.363349))",,,,university,,,,,,Blackstone Steam Plant,,46,Blackstone Street,,,,,,,,,,,,,,,,"[326585687, 326585688, 326585689, 326585698, 326585700, 326585702, 326585704, 326585706, 326585708, 326585710, 326585712, 326585714, 326585716, 326585718, 326585720, 326585722, 326585724, 326585726, 326585728, 326585730, 326585734, 326585736, 326585738, 326585740, 326585742, 326585744, 326585746, 326585748, 326585750, 326585687]",2,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29681520,,,"POLYGON ((-71.1147066 42.3695258, -71.1148313 42.3695353, -71.1148159 42.3696472, -71.1146911 42.3696377, -71.1147066 42.3695258))",,,,yes,,,,,,,,41;43,Banks Street,,,,,,,,,,,,,,,,"[326603967, 326603968, 326603969, 326603970, 326603967]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29681544,,,"POLYGON ((-71.1148376 42.3680806, -71.1150567 42.368082, -71.1150555 42.3681889, -71.11499 42.3681885, -71.1149862 42.3685306, -71.1150094 42.3685308, -71.115107 42.3685409, -71.1153857 42.3686125, -71.1155348 42.368296, -71.115227 42.3682168, -71.1152769 42.3681108, -71.1157276 42.3682267, -71.115477 42.3687586, -71.1150555 42.3686503, -71.1150082 42.3686429, -71.1148314 42.3686419, -71.1148376 42.3680806))",,,MA,university,4,Middlesex,1971517,57871b70-0100-4405-bb30-88b2e001a944,no,Mather House,Bing,,,,,,,,,,,,,,,,,,"[326604052, 326604053, 326604055, 326604056, 326604057, 3823406600, 326604058, 326604059, 326604060, 326604061, 326604062, 326604063, 326604065, 326604066, 3823406601, 326604068, 326604052]",,,,,en:Mather House (Harvard University),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29681560,,,"POLYGON ((-71.1154539 42.367848, -71.1158064 42.3679337, -71.1158014 42.3679541, -71.1157982 42.3679669, -71.1158363 42.3679721, -71.1157955 42.3680722, -71.1159094 42.3681039, -71.1160486 42.3680528, -71.1160354 42.3680331, -71.1161563 42.3679886, -71.1162478 42.3681257, -71.1161313 42.3681684, -71.1162037 42.3682768, -71.1163456 42.3682248, -71.1164101 42.3683215, -71.1163862 42.3683303, -71.1164385 42.3684168, -71.1163665 42.3684416, -71.1163157 42.3683561, -71.1160381 42.3684579, -71.1160885 42.3685336, -71.1159659 42.3685786, -71.1161064 42.3687894, -71.1162178 42.3687486, -71.116268 42.3688241, -71.1164917 42.368742, -71.1165453 42.3687223, -71.116491 42.3686375, -71.1165642 42.3686131, -71.1166234 42.3686937, -71.116649 42.3686843, -71.1167091 42.3687744, -71.1165096 42.3688476, -71.1165867 42.3689631, -71.1167478 42.368904, -71.1167915 42.3689695, -71.1167556 42.3689826, -71.1168314 42.3690961, -71.1167425 42.3691287, -71.1166711 42.3690218, -71.1165235 42.369076, -71.1163984 42.3688883, -71.1162292 42.3689503, -71.1162243 42.3689518, -71.1162192 42.3689528, -71.1162138 42.3689532, -71.1162086 42.3689531, -71.1162033 42.3689525, -71.1161983 42.3689513, -71.1161935 42.3689495, -71.1161891 42.3689474, -71.1161851 42.3689447, -71.1161817 42.3689418, -71.1161782 42.3689375, -71.1161382 42.3688775, -71.116061 42.3689058, -71.1160562 42.3689072, -71.1160511 42.3689082, -71.1160457 42.3689086, -71.1160405 42.3689085, -71.1160352 42.3689079, -71.1160302 42.3689067, -71.1160253 42.368905, -71.116021 42.3689028, -71.116017 42.3689002, -71.1160135 42.3688972, -71.1160101 42.3688929, -71.1159277 42.3687694, -71.1157598 42.368831, -71.1157549 42.3688325, -71.1157497 42.3688335, -71.1157445 42.3688339, -71.1157391 42.3688338, -71.1157339 42.3688331, -71.1157288 42.3688319, -71.1157241 42.3688302, -71.1157196 42.368828, -71.1157158 42.3688254, -71.1157122 42.3688224, -71.1157088 42.3688182, -71.1156876 42.3687863, -71.1156855 42.3687827, -71.1156842 42.3687789, -71.1156836 42.368775, -71.1156838 42.368771, -71.1156847 42.3687672, -71.1156863 42.3687634, -71.1156886 42.3687599, -71.1156915 42.3687566, -71.1156951 42.3687536, -71.1156991 42.3687511, -71.1157048 42.3687485, -71.11587 42.3686879, -71.1158029 42.3685872, -71.1158009 42.3685836, -71.1157996 42.3685797, -71.115799 42.3685759, -71.1157992 42.3685719, -71.1158001 42.368568, -71.1158017 42.3685643, -71.115804 42.3685608, -71.115807 42.3685574, -71.1158105 42.3685545, -71.1158145 42.368552, -71.1158201 42.3685494, -71.1158986 42.3685207, -71.1158447 42.3684399, -71.1158427 42.3684362, -71.1158414 42.3684324, -71.1158408 42.3684285, -71.1158409 42.3684246, -71.1158418 42.3684207, -71.1158434 42.3684169, -71.1158457 42.3684133, -71.1158487 42.3684101, -71.1158522 42.3684072, -71.1158562 42.3684046, -71.1158619 42.3684021, -71.1158821 42.3683947, -71.1157593 42.3682105, -71.1157408 42.368206, -71.1153443 42.3681095, -71.1154314 42.367902, -71.1154458 42.3678672, -71.1154539 42.367848))",,,,dormitory,,,,,,Dunster House,,933;945,Memorial Drive,,,,,,,,,,,,,,,,"[326604079, 326604081, 7855184472, 326604082, 326604083, 326604084, 326604085, 326604087, 326604088, 326604089, 326604090, 326604091, 326604092, 326604094, 326604095, 10863818477, 10863818476, 10863818479, 10863818478, 326604096, 326604097, 326604098, 326604099, 326604101, 326604102, 326604103, 10863818481, 10863818482, 10863818475, 10863818480, 326604104, 326604105, 326604106, 326604108, 326604109, 326604110, 326604111, 326604112, 326604114, 326604115, 326604116, 326604117, 326604118, 326604119, 326604120, 326604122, 326604123, 326604124, 326604125, 326604126, 326604127, 326604128, 326604129, 326604130, 326604131, 326604132, 326604133, 326604134, 326604135, 326604136, 326604137, 326604138, 326604139, 326604140, 326604141, 326604142, 326604143, 326604144, 326604145, 326604146, 326604147, 326604148, 326604149, 326604150, 326604151, 326604152, 326604153, 326604154, 326604155, 326604156, 326604157, 326604158, 326604159, 326604160, 326604161, 326604162, 326604163, 326604164, 326604165, 326604166, 326604167, 326604168, 326604169, 326604170, 326604171, 326604172, 326604173, 326604174, 326604175, 326604176, 326604177, 326604178, 326604179, 326604180, 326604181, 326604182, 326604183, 326604184, 326604185, 326604186, 326604187, 326604188, 326604189, 326604190, 326604191, 326604192, 326604193, 326604194, 326604195, 326604196, 7855184467, 326604197, 10863818472, 7855184468, 326604079]",4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29683951,,,"POLYGON ((-71.1187078 42.3827028, -71.1188262 42.3827041, -71.1188259 42.3827156, -71.1188806 42.3827162, -71.1188794 42.3827733, -71.1188902 42.3827823, -71.1188902 42.3828085, -71.1188787 42.3828193, -71.1188777 42.3828589, -71.1188393 42.3828584, -71.1188377 42.3829254, -71.1187731 42.3829246, -71.1187735 42.3829072, -71.1187395 42.3829068, -71.118741 42.3828443, -71.1187287 42.3828346, -71.1187294 42.3828102, -71.118741 42.3828, -71.1187058 42.3827996, -71.1187078 42.3827028))",,,,dormitory,,,,,,,,5,Sacramento Street,,,,,,,,,,,,,,,,"[326611970, 3309068684, 3309068683, 326611971, 3309068690, 3309068692, 3309068693, 3309068691, 326611972, 326611973, 326611974, 3309068685, 3309068686, 326611975, 3309068687, 3309068688, 3309068689, 326611976, 326611977, 326611970]",2,,,,,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29683973,,,"POLYGON ((-71.1264844 42.3825375, -71.1266145 42.382704, -71.1268035 42.3826229, -71.1268623 42.3826982, -71.1266181 42.3828031, -71.1265759 42.382749, -71.1265255 42.3827706, -71.126447 42.38267, -71.1263788 42.3825828, -71.1264844 42.3825375))",,,,yes,,,,,,,,34,Fernald Drive,,,,,,,,,,,,,,,,"[326612059, 326612061, 326612062, 326612063, 326612064, 326612065, 326612066, 707882646, 326612067, 326612059]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29683999,,,"POLYGON ((-71.128469 42.3822584, -71.1284543 42.3822478, -71.128477 42.3822306, -71.128426 42.3821939, -71.1284802 42.3821528, -71.1286934 42.3823066, -71.1286362 42.3823499, -71.128538 42.3822791, -71.1284341 42.3823577, -71.1283848 42.3823221, -71.128469 42.3822584))",,,,yes,,,,,,,,9;11,Garden Terrace,,,,,,,,,,,,,,,,"[326612184, 10136543821, 10136543822, 10136543819, 10136543817, 10136543818, 10136543820, 326612185, 326612186, 326612187, 326612184]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29684053,,,"POLYGON ((-71.1287976 42.3817809, -71.1289492 42.3817835, -71.1289463 42.3818735, -71.1287948 42.3818709, -71.1287976 42.3817809))",,,,service,,,,,,,,,,,,,,,,,,,,,,,,,"[326612361, 326612362, 326612363, 326612364, 326612361]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29684178,,,"POLYGON ((-71.1161085 42.3805859, -71.1162764 42.3805958, -71.1162639 42.3807231, -71.1160949 42.3807072, -71.1161085 42.3805859))",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[326612850, 326612851, 326612852, 326612853, 326612850]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29684237,,,"POLYGON ((-71.1174967 42.3800136, -71.1176396 42.3800204, -71.1176459 42.3800129, -71.1176569 42.3800076, -71.117672 42.380006, -71.117688 42.3800097, -71.1176973 42.380016, -71.1177023 42.3800235, -71.1177519 42.3800255, -71.1177407 42.3801565, -71.117654 42.3801525, -71.1176567 42.3801213, -71.1175967 42.3801185, -71.1175941 42.3801433, -71.1176049 42.3801439, -71.1176013 42.3801729, -71.1175925 42.3801726, -71.117592 42.3801803, -71.1176005 42.3801854, -71.1175969 42.3802175, -71.1175884 42.3802238, -71.1175849 42.380256, -71.1175328 42.3802535, -71.1175354 42.3802232, -71.117479 42.3802205, -71.1174967 42.3800136))",,,,dormitory,,,,,,,,27,Everett Street,,,,,02138-2724,,,,,,,,,,,"[326613054, 3305282920, 3305282926, 3305282925, 3305282924, 3305282923, 3305282922, 3305282921, 326613055, 326613058, 326613060, 326613061, 326613064, 3305282912, 3305282913, 3305282918, 3305282919, 3305282917, 3305282916, 3305282914, 3305282915, 326613065, 326613066, 326613067, 326613069, 326613054]",3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29684251,,,"POLYGON ((-71.1147849 42.3795595, -71.1148401 42.3796922, -71.1148643 42.3796916, -71.1148971 42.379693, -71.1149324 42.3796956, -71.1149611 42.3796982, -71.1149896 42.3797008, -71.1150134 42.3797046, -71.1149874 42.3798103, -71.1150478 42.3798122, -71.1150462 42.3798413, -71.1150092 42.3798396, -71.1149503 42.3800712, -71.114903 42.3800695, -71.1148962 42.3800684, -71.1148893 42.3800676, -71.1148825 42.3800669, -71.1148756 42.3800662, -71.1148687 42.3800656, -71.1148619 42.3800651, -71.114855 42.3800647, -71.1148479 42.3800643, -71.114841 42.3800641, -71.1148341 42.380064, -71.1148272 42.3800639, -71.1148202 42.380064, -71.1148133 42.380064, -71.1148064 42.3800643, -71.1147995 42.3800646, -71.1147925 42.3800649, -71.1147856 42.3800655, -71.1147787 42.3800661, -71.1147719 42.3800667, -71.114765 42.3800675, -71.1147582 42.3800683, -71.1147514 42.3800692, -71.1147445 42.3800703, -71.1147377 42.3800713, -71.1147309 42.3800726, -71.1147242 42.3800738, -71.1147176 42.3800751, -71.1147109 42.3800766, -71.1147043 42.3800782, -71.1146977 42.3800798, -71.1146912 42.3800815, -71.1146847 42.3800833, -71.1146782 42.3800852, -71.1146718 42.3800871, -71.1146654 42.3800892, -71.1146591 42.3800913, -71.1146528 42.3800935, -71.1146466 42.3800958, -71.1146404 42.3800981, -71.1146343 42.3801006, -71.1146283 42.3801031, -71.1146223 42.3801057, -71.1146164 42.3801084, -71.1146106 42.3801112, -71.1146048 42.380114, -71.114599 42.3801169, -71.1145934 42.3801198, -71.1145878 42.380123, -71.1145823 42.380126, -71.1145769 42.3801292, -71.1145715 42.3801325, -71.1145663 42.3801359, -71.114561 42.3801393, -71.1145559 42.3801427, -71.1145508 42.3801462, -71.1145459 42.3801498, -71.114541 42.3801535, -71.1145363 42.3801572, -71.1145315 42.380161, -71.1145269 42.3801649, -71.1145223 42.3801687, -71.1145179 42.3801727, -71.1145137 42.3801767, -71.1145094 42.3801809, -71.1145052 42.380185, -71.1144974 42.3801932, -71.1144536 42.380171, -71.1144133 42.3802164, -71.1143813 42.3802027, -71.1143714 42.3802188, -71.1139944 42.3801073, -71.1140069 42.3800815, -71.1140227 42.380056, -71.1140367 42.3800378, -71.1140514 42.3800168, -71.1140671 42.3799966, -71.1140875 42.3799729, -71.114109 42.3799517, -71.1141315 42.3799312, -71.1141549 42.3799112, -71.1141785 42.3798932, -71.1142038 42.3798745, -71.1142318 42.3798544, -71.1142563 42.3798391, -71.1142861 42.379823, -71.1143184 42.3798078, -71.1143602 42.3797878, -71.1144045 42.3797708, -71.1144461 42.3797552, -71.1144929 42.3797395, -71.1144246 42.3796163, -71.1146361 42.3795654, -71.1147849 42.3795595))",,,,university,,,,,,38 Oxford,,38,Oxford Street,,,,,,,,,,,,,,,,"[326613082, 326613083, 326613086, 326613089, 326613092, 326613095, 326613096, 326613099, 11732131076, 11732131077, 11732131078, 11732131075, 326613103, 326613104, 326613106, 326613107, 326613108, 326613109, 326613110, 326613111, 326613112, 326613113, 326613114, 326613115, 326613116, 326613117, 326613118, 326613119, 326613120, 326613121, 326613122, 326613123, 326613124, 326613125, 326613126, 326613127, 326613128, 326613129, 326613130, 326613131, 326613132, 326613133, 326613134, 326613135, 326613136, 326613137, 326613138, 326613139, 326613140, 326613141, 326613142, 326613143, 326613144, 326613145, 326613146, 326613147, 326613148, 326613149, 326613150, 326613151, 326613152, 326613153, 326613154, 326613155, 326613156, 326613157, 326613158, 326613159, 326613160, 326613161, 326613162, 326613163, 326613164, 326613165, 326613166, 326613167, 326613168, 326613169, 326613170, 326613171, 326613172, 326613173, 326613174, 326613175, 326613176, 326613179, 326613181, 326613183, 326613184, 326613186, 326613188, 326613190, 326613192, 326613194, 326613196, 326613198, 326613200, 326613202, 326613204, 326613206, 326613209, 326613212, 326613214, 326613216, 326613217, 11732131074, 326613082]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29684295,,,"POLYGON ((-71.111515 42.3797406, -71.1117396 42.3797465, -71.1117388 42.3797651, -71.1117925 42.3797666, -71.1117908 42.3798022, -71.1117361 42.3798009, -71.1117329 42.3798683, -71.1116613 42.3798665, -71.1116632 42.3798264, -71.1115967 42.3798246, -71.1115949 42.3798653, -71.1115093 42.3798631, -71.111515 42.3797406))",,,,detached,,,,,,,,5,Bryant Street,,,,,,,,,,,,,,,,"[326613333, 326613334, 326613335, 326613336, 326613337, 326613338, 326613339, 326613340, 326613341, 326613342, 326613343, 326613344, 326613333]",2,,,,,1,gambrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29684374,,,"POLYGON ((-71.1142905 42.3790714, -71.114359 42.3792562, -71.1141361 42.3793017, -71.1140931 42.3791855, -71.1141435 42.3791752, -71.114118 42.3791066, -71.1142905 42.3790714))",,,,university,,,,,,Farlow Herbarium,,20,Divinity Avenue,Q18354774,,,,,,,,,,,,,,,"[326613644, 326613645, 326613646, 326613647, 326613648, 326613649, 326613644]",,,,,,,,,,,,,,,,,,,Farlow,,,,,,,,,,,,,,,,,
way,29684391,,,"POLYGON ((-71.1196744 42.378366, -71.119872 42.3783769, -71.1198622 42.3784734, -71.1198125 42.3784706, -71.1198079 42.3785162, -71.1198783 42.37852, -71.1198634 42.3786679, -71.1197419 42.3786612, -71.1197325 42.3787539, -71.1196028 42.3787467, -71.1195938 42.3788361, -71.1194013 42.3788254, -71.1194063 42.3787761, -71.1193405 42.3787725, -71.1193557 42.3786214, -71.1195497 42.3786321, -71.1195455 42.3786743, -71.1196472 42.3786799, -71.1196546 42.3786062, -71.1195946 42.3786029, -71.1196096 42.3784546, -71.1196651 42.3784577, -71.1196744 42.378366))",,,,university,7,Middlesex,1971664,57871b70-0100-4405-bb30-88b2e001a944,,Pound Hall,USGS Geonames,1563,Massachusetts Avenue,,,,,02138-2903,,,,,,,,,,,"[326613737, 326613738, 326613739, 326613740, 326613741, 326613742, 326613743, 326613744, 326613745, 326613746, 326613747, 326613748, 326613749, 326613750, 326613759, 326613760, 326613761, 326613762, 326613763, 326613764, 326613765, 326613766, 326613737]",5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29684437,,,"POLYGON ((-71.113552 42.3779578, -71.113581 42.378056, -71.1134868 42.3780714, -71.1134576 42.3779732, -71.113552 42.3779578))",,,,yes,,,,,,,,11,Kirkland Place,,,,,,,,,,,,,,,,"[326614102, 326614103, 326614104, 326614105, 326614102]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29684442,library,,"POLYGON ((-71.1138266 42.3773367, -71.1138567 42.3774168, -71.1138416 42.3774198, -71.1138723 42.3775018, -71.1138836 42.3774995, -71.1139055 42.3775582, -71.1139212 42.3776004, -71.1139118 42.3776023, -71.1139433 42.3776877, -71.1139543 42.3776855, -71.1139843 42.3777674, -71.1137678 42.3778108, -71.1137631 42.3777979, -71.113732 42.3778041, -71.1138057 42.378006, -71.1136494 42.3780372, -71.1135356 42.3777256, -71.1135608 42.3777206, -71.1135525 42.3776979, -71.11353 42.3776875, -71.1134888 42.3775789, -71.113505 42.3775553, -71.1135217 42.3775522, -71.1135144 42.377531, -71.113624 42.3775105, -71.1136302 42.3775287, -71.1136567 42.3775238, -71.1136782 42.3775324, -71.1136504 42.3774586, -71.1136362 42.3774615, -71.1136063 42.3773819, -71.1138266 42.3773367))",,,MA,yes,6,Middlesex,1971342,57871b70-0100-4405-bb30-88b2e001a944,no,Harvard-Yenching Library,USGS Geonames,2,Divinity Avenue,Q5676691,,Cambridge,,02138,,,,,,,,,,,"[11732131088, 11732131089, 11732131090, 11732131091, 11732131092, 8699605008, 11732131093, 11732131095, 11732131096, 11732131094, 326614153, 11732131085, 11732131086, 11732131087, 326614155, 326614156, 11732131081, 11732131082, 11732131083, 11732131084, 11732131101, 326614157, 11732131102, 11732131104, 11732131103, 11732131100, 11732131099, 326614158, 11732131098, 11732131097, 326614159, 11732131088]",,,,,en:Harvard–Yenching Library,,,,,,,,,,,,,,,US-mhhy,,,,,,,,,,,,,,,,
way,29684466,,,"POLYGON ((-71.1121622 42.3773201, -71.1121775 42.3773666, -71.1122225 42.3773585, -71.1122656 42.377489, -71.1122317 42.3774951, -71.1122366 42.37751, -71.1122523 42.3775072, -71.1122739 42.3775726, -71.1122109 42.3775839, -71.1120911 42.3776055, -71.1120694 42.3775397, -71.1121277 42.3775292, -71.1121614 42.3775232, -71.1121361 42.3774463, -71.1120745 42.3774574, -71.1120367 42.3773427, -71.1121622 42.3773201))",,,MA,university,6,Middlesex,1971457,57871b70-0100-4405-bb30-88b2e001a944,no,Lippman House,USGS Geonames,1,Francis Avenue,,,Cambridge,,02138,,,,,,,,,,,"[367779985, 11042486751, 326614574, 11042486752, 326614576, 326614578, 11042486747, 11042486748, 11042486753, 11042486749, 11042486750, 11042486754, 326614580, 326614582, 326614584, 326614586, 367779985]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29684480,,,"POLYGON ((-71.1191807 42.3769349, -71.119203 42.3770605, -71.118992 42.3770847, -71.1189903 42.3770993, -71.1189817 42.3771116, -71.1189676 42.377121, -71.1189467 42.3771255, -71.1189644 42.3772278, -71.1186762 42.3772557, -71.1186574 42.3771577, -71.1186373 42.377158, -71.1186185 42.3771526, -71.118607 42.3771419, -71.1184758 42.3771555, -71.1184711 42.3771327, -71.1183953 42.3771399, -71.1183728 42.3770131, -71.118631 42.3769869, -71.1186356 42.3769758, -71.1186463 42.3769676, -71.1186629 42.376966, -71.1186766 42.3769705, -71.1186856 42.3769809, -71.1191807 42.3769349))",,,,university,7,Middlesex,1970965,57871b70-0100-4405-bb30-88b2e001a944,,Austin Hall,USGS Geonames,1515,Massachusetts Avenue,Q4823114,,,,02138-2903,,,,,,,,,,,"[326614748, 326614751, 3295564506, 3295564507, 3295564509, 3295564508, 326614753, 314502741, 326614757, 326614758, 3295564514, 3295564513, 3295564512, 3295564511, 3295564510, 326614760, 326614762, 3295564500, 3295564502, 3295564504, 3295564505, 3295564503, 3295564501, 326614748]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29684486,,,"POLYGON ((-71.117552 42.3766237, -71.1176046 42.3767648, -71.1171601 42.3768551, -71.1172259 42.3770318, -71.1171127 42.3770548, -71.1171174 42.3770675, -71.117135 42.3770639, -71.1171611 42.3771337, -71.1169723 42.3771721, -71.1168305 42.3767912, -71.1170205 42.3767526, -71.1170267 42.3767693, -71.1171437 42.3767455, -71.1171304 42.3767096, -71.117552 42.3766237))",,,MA,university,6,Middlesex,1971628,57871b70-0100-4405-bb30-88b2e001a944,no,Paine Building,USGS Geonames,,,,,,,,,,,,,,,,,,"[326614838, 326614840, 326614842, 326614844, 326614846, 4176149522, 4176149521, 326614848, 326614850, 326614852, 4176149519, 4176149520, 326614854, 326614856, 326614838]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
